#|num|weight|mean|covariance matrix|
|0|1820.53994797|132.412816068 -8.29717591271 189.157451646|36.494614903 17.5985483602 -17.3909210947 17.5985483602 31.5464744911 -1.71146259304 -17.3909210947 -1.71146259304 20.513877245|
|1|2297.74803575|121.912153977 -10.1659900978 164.201677798|24.1528076897 14.8016560879 11.9068043775 14.8016560879 48.6061077842 17.195397268 11.9068043775 17.195397268 22.7750923151|
|2|1371.42511674|138.959356763 -19.0925389327 188.963441429|16.2947280101 0.113348813314 22.952716503 0.113348813314 12.3502032917 -2.28557445371 22.952716503 -2.28557445371 53.1882167272|
|3|786.331072724|112.582385502 -23.7675645919 161.541190592|6.82467843647 -0.730385979588 5.43224414539 -0.730385979588 12.2083975651 1.46378102526 5.43224414539 1.46378102526 17.1320220738|
|4|2278.04336654|122.942354795 -25.727955333 179.941101918|59.1300396096 12.0052147504 24.826846389 12.0052147504 11.1217929528 4.85233590904 24.826846389 4.85233590904 33.6007339958|
|5|1805.92020286|121.114990209 -0.332160783295 177.746150551|23.4488486752 1.55522232437 3.84984192496 1.55522232437 13.2137200685 -11.0969667822 3.84984192496 -11.0969667822 34.4585608267|
|6|2996.58163138|121.392840587 0.546668178071 195.803552768|19.5444127354 0.561616825797 -5.23656417458 0.561616825797 34.8969282443 -6.6821737578 -5.23656417458 -6.6821737578 21.1873272978|
|7|1224.16885218|118.700117954 -22.0122086383 190.199309028|14.9572017143 -6.1484078782 2.2167833369 -6.1484078782 34.0104827552 0.0346609373893 2.2167833369 0.0346609373893 9.23797811062|
|8|1213.76384522|105.352774001 -21.7890438412 169.95244036|12.7414662772 6.48542971879 -1.63509102789 6.48542971879 20.342145919 -8.8118969437 -1.63509102789 -8.8118969437 18.3238366299|
|9|2980.41567091|115.619679391 -14.6308267876 179.27687611|18.5006555853 6.86205781321 14.5648021261 6.86205781321 38.3931664824 12.6250644379 14.5648021261 12.6250644379 63.3737393112|
|10|3774.89045773|127.945645898 -12.5248340799 175.609214397|30.8049303726 9.44058598898 10.1680284825 9.44058598898 34.475479526 15.1739798777 10.1680284825 15.1739798777 46.680592161|
